V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
3;70;0,533;0,211;139,564;0,361;0,0284;0,08;-10,247;0,0346;179,895;0,0537
3;69;0,0469;0,311;208,467;0,325;0;0,139;-10,769;0,0283;65,09;0,668
3;68;0,00614;0,459;292,173;0,727;0,065;0,384;-6,566;0,0303;149,229;0,549
3;63;5,10E-05;0,219;176,307;0,952;0,0989;0,157;-10,615;0,176;112,886;0,172
3;61;0,155;0,374;171,96;0,804;0;0,654;-5,399;0,0899;144,995;0,561
3;65;0,0128;0,382;234,867;0,675;0,000246;0,219;-4,36;0,0441;106,171;0,449
3;64;0,0235;0,159;149,467;0,946;8,06E-06;0,387;-8,491;0,0629;164,997;0,309
3;65;0,816;0,459;194,427;0,322;0;0,072;-9,866;0,0595;133,91;0,331
3;56;0,33;0,681;262,773;0,569;0,00038;0,323;-6,109;0,0295;102,402;0,458
3;61;0,432;0,605;220,187;0,53;0;0,095;-11,074;0,0261;73,986;0,38
3;60;0,145;0,291;215,92;0,4;1,86E-05;0,259;-9,921;0,0306;83,112;0,0935
3;62;0,241;0,49;186,067;0,644;0;0,111;-10,119;0,0278;74,979;0,49
3;58;0,000233;0,322;172,941;0,832;0,218;0,364;-11,227;0,0731;78,721;0,322
3;58;0,335;0,36;262,053;0,333;1,09E-06;0,114;-8,491;0,0285;74,53;0,17
3;60;0,683;0,622;146,067;0,175;0;0,109;-9,866;0,0245;136,365;0,376
3;57;0,464;0,532;210,106;0,597;0,000123;0,0643;-6,109;0,0261;80,031;0,345
3;53;0,938;0,29;222,82;0,308;0,0294;0,106;-11,074;0,0442;84,88;0,205
3;54;0,781;0,314;262,133;0,37;0,139;0,122;-9,921;0,0286;116,044;0,28
3;58;0,00101;0,647;141,613;0,487;0,285;0,138;-10,119;0,0689;123,444;0,222
3;64;0,661;0,441;214,827;0,258;0;0,106;-11,227;0,0276;77,988;0,172
